GCPA,Greedy,Baseline,Better Baseline
25,21,35,28
29,21,42,31
20,20,46,27
30,20,34,27
26,21,41,26
16,3,4,3
26,21,41,30
26,21,41,31
21,20,38,26
27,20,41,28
28,20,32,27
21,21,39,25
30,20,35,21
24,20,35,27
28,20,35,23
20,20,35,27
20,20,41,27
24,20,41,27
27,22,41,28
28,22,41,26
26,22,41,27
29,22,41,29
26,20,46,28
26,23,40,28
20,5,10,5
29,22,43,25
26,20,46,31
28,21,45,29
21,21,39,29
26,18,37,31
27,22,37,28
26,19,40,31
30,20,46,27
29,21,42,26
25,20,42,26
25,20,46,27
28,20,42,28
29,19,38,26
26,20,37,28
29,22,41,26
26,22,35,26
26,20,46,27
30,22,39,27
27,21,43,33
24,21,43,24
26,20,44,27
21,22,38,28
21,22,38,27
22,22,43,29
27,21,41,28
27,21,41,29
24,21,41,29
21,16,35,24
30,19,40,26
27,21,40,30
27,20,40,25
25,19,40,21
21,22,38,30
23,21,46,23
27,22,41,30
28,20,46,24
28,22,46,25
26,20,46,30
27,22,43,31
28,20,41,27
25,21,34,31
27,22,41,26
29,22,41,30
27,21,41,28
28,18,41,27
28,18,41,30
22,22,39,28
30,19,43,25
30,22,44,28
25,19,40,27
23,21,41,27
20,20,40,28
30,22,44,26
29,22,44,26
28,21,38,29
23,21,45,29
30,21,43,25
27,21,43,27
29,20,43,28
27,20,43,27
27,23,39,26
28,21,46,31
29,20,44,28
27,20,43,25
21,20,43,28
28,20,36,24
28,20,36,28
29,22,40,31
29,22,40,29
26,20,43,25
26,21,35,29
29,19,39,30
29,19,39,28
29,19,39,30
22,19,39,29
23,19,45,28
26,23,40,26
28,22,38,30
22,22,38,27
27,22,38,29
24,22,38,31
29,20,39,30
27,23,39,27
25,23,39,26
28,23,39,29
29,20,45,29
26,20,38,28
25,21,35,26
26,20,36,27
22,22,35,28
26,20,33,27
27,20,33,30
26,21,35,27
24,21,35,32
26,20,43,27
27,21,35,27
29,21,35,26
28,21,41,27
28,22,35,30
27,22,35,30
31,22,35,29
25,19,40,25
22,19,40,28
28,19,40,28
26,21,39,28
23,22,37,27
29,22,39,27
27,21,35,26
27,21,35,25
27,21,35,27
28,21,35,26
25,21,35,28
28,21,35,26
29,21,35,26
28,21,35,28
30,21,35,24
28,21,35,28
26,21,35,27
26,21,35,24
27,21,39,26
23,6,13,7
20,6,13,8
27,21,37,30
28,21,37,31
29,21,37,28
26,22,36,29
28,20,41,30
26,24,37,28
27,20,46,26
27,20,46,30
27,19,36,24
28,19,36,27
33,21,36,31
28,22,43,30
23,21,44,29
21,8,18,10
21,12,30,18
27,22,36,29
27,22,36,27
27,22,36,25
25,22,36,24
27,22,36,31
29,22,36,28
23,22,36,26
28,22,36,27
28,22,41,25
26,20,34,29
27,20,34,29
27,21,43,29
28,20,43,26
26,21,41,31
26,21,41,25
29,19,41,26
23,22,36,26
27,20,34,30
28,20,43,29
28,20,43,26
28,21,35,25
26,19,43,31
28,19,43,30
27,19,43,27
27,22,42,31
27,22,42,28
26,21,36,26
31,21,36,27
27,22,42,26
27,22,42,27
29,21,36,25
20,3,3,3
28,23,43,30
30,20,43,25
28,21,45,25
26,23,43,30
30,20,42,28
27,22,32,26
28,21,38,27
3,3,4,3
29,18,37,29
27,19,39,27
2,1,1,1
22,3,3,3
22,2,3,2
15,2,3,2
24,14,29,17
29,21,37,27
29,21,41,31
29,21,41,26
27,21,37,28
27,21,37,30
26,21,38,29
26,21,38,30
26,21,38,29
31,21,36,29
28,19,43,26
24,20,36,27
23,20,36,28
28,19,43,27
28,19,43,29
27,21,36,28
27,20,43,29
30,20,43,26
26,21,43,27
29,21,41,30
25,20,43,27
27,20,43,29
29,21,41,28
29,21,41,29
29,23,36,27
27,19,43,27
30,19,43,29
29,19,43,28
28,22,43,24
28,22,43,32
28,22,43,27
28,22,43,29
29,21,43,29
23,21,43,28
27,21,43,29
23,23,34,27
25,21,36,29
27,21,36,27
29,19,36,26
27,19,36,31
27,21,43,28
20,20,41,29
21,21,43,29
28,21,36,26
20,20,41,29
29,20,41,31
21,21,43,26
29,21,41,31
29,21,41,26
27,20,40,25
31,21,43,26
24,20,41,27
29,21,41,25
29,21,41,28
26,21,36,28
24,21,36,26
27,21,39,30
23,22,36,27
30,20,41,31
21,21,37,29
23,23,34,31
25,19,35,26
22,22,43,29
24,21,36,30
27,18,43,24
28,21,41,28
30,21,41,28
28,21,43,30
22,21,43,27
30,19,41,28
21,21,36,26
27,21,40,30
26,21,43,27
29,21,39,28
27,21,39,29
28,21,43,29
29,21,41,27
29,21,41,25
28,20,41,30
23,19,38,23
29,21,41,29
19,19,38,30
30,20,35,30
27,20,35,30
23,23,34,25
29,21,43,31
29,21,43,31
29,21,41,25
29,22,40,28
29,20,43,26
24,19,38,28
27,21,43,32
26,19,37,29
27,20,41,25
28,20,38,31
26,20,38,27
26,20,36,25
29,20,41,30
27,20,43,28
30,20,43,29
27,20,43,28
28,20,41,31
27,20,43,27
24,20,36,28
26,20,38,26
28,20,38,26
26,20,38,29
28,20,41,23
28,21,36,26
29,21,36,31
28,20,42,29
28,20,42,30
28,20,42,28
26,20,38,26
29,20,36,28
26,22,35,30
28,21,35,26
27,22,46,28
27,21,39,29
23,19,42,27
31,19,42,29
27,19,42,26
26,21,38,29
25,20,39,27
26,20,39,26
30,21,43,28
27,20,39,28
4,4,9,5
28,21,35,30
25,21,35,26
29,21,43,27
28,19,47,23
26,19,43,32
30,20,41,26
21,21,39,26
28,22,38,26
28,22,38,25
27,21,39,25
29,19,38,27
27,19,41,30
27,19,41,28
27,19,41,29
27,19,41,27
27,19,41,29
28,19,43,24
28,19,43,29
30,19,38,32
28,21,41,27
24,16,33,21
30,21,43,28
25,20,42,28
28,20,38,28
29,20,44,22
23,20,43,23
28,20,46,28
20,20,46,27
26,20,46,25
27,21,46,25
28,21,41,29
24,20,41,28
26,20,37,28
28,20,45,29
28,20,45,26
26,22,35,31
26,20,41,27
27,18,36,27
28,22,35,28
28,22,35,32
30,22,35,30
1,1,1,1
27,20,41,26
28,20,42,25
22,3,4,4
22,22,36,26
25,22,43,28
29,23,37,30
28,21,38,29
29,21,41,25
29,21,41,28
30,20,40,24
27,20,40,28
26,20,40,27
28,19,36,28
20,19,36,26
21,19,36,31
28,19,36,28
24,21,36,29
23,23,37,31
29,21,41,28
27,23,41,27
29,20,38,29
28,19,37,27
25,19,37,30
27,21,41,29
28,18,33,27
27,21,46,28
27,21,38,30
27,21,37,28
29,21,37,27
27,21,37,29
24,20,42,27
26,21,36,28
30,22,35,27
28,19,37,28
29,23,39,29
29,23,39,31
25,21,36,28
22,21,36,25
26,19,36,27
27,20,44,27
24,23,38,29
26,22,38,26
29,22,38,29
27,21,41,29
27,21,43,28
27,21,43,29
20,20,36,27
20,20,40,27
32,20,36,27
28,20,31,28
29,21,40,27
27,22,39,26
27,22,39,29
27,22,39,30
27,22,39,32
27,22,39,27
27,22,39,26
24,12,32,18
24,12,32,21
23,12,32,18
27,21,43,28
22,12,32,20
23,12,32,18
21,2,3,2
20,12,32,16
31,21,41,31
26,21,42,30
31,20,41,30
23,21,39,26
28,20,44,29
26,21,38,26
27,22,38,31
27,23,38,27
28,21,37,29
27,22,38,28
29,23,44,28
28,21,39,29
28,20,36,28
28,20,36,28
28,20,36,29
28,20,36,28
28,20,36,33
28,20,36,30
28,20,36,29
28,20,36,29
28,20,43,29
28,21,37,32
28,22,39,29
28,22,39,27
28,22,39,30
28,22,39,25
28,22,39,29
28,22,39,30
28,22,39,27
28,22,39,26
28,22,39,29
28,22,39,30
28,22,39,29
28,22,39,27
28,22,39,28
20,20,41,27
26,20,41,29
28,20,41,27
28,21,41,27
29,21,41,28
21,21,41,28
24,21,36,26
24,21,36,26
28,21,41,32
